model_name,total_puzzles,average_score,percentage,perfect_puzzles,perfect_percentage,total_correct_groups
exp1_baseline,102,0.5490,54.90,34,33.33,224
exp1_full,102,0.6103,61.03,40,39.22,249
exp1_permutation,102,0.5196,51.96,32,31.37,212
exp1_synthetic,102,0.5466,54.66,33,32.35,223
exp2_mixed,102,0.8113,81.13,72,70.59,331
exp2_sequential,102,0.5980,59.80,44,43.14,244
exp2_structured,102,0.5417,54.17,35,34.31,221
exp2_unstructured,102,0.9608,96.08,94,92.16,392
exp3_no_warmup,102,0.5588,55.88,34,33.33,228
exp3_staged,102,0.5319,53.19,31,30.39,217
exp3_warmup,102,0.5515,55.15,35,34.31,225
original_model_test,102,0.0686,6.86,3,2.94,28
